length,GT,post_huber,slope_30m,GT_relief,post_huber_relief,slope_30m_relief
78.583,1.045685047,1.049039326,0.627692383,1.434349852,1.43895189,0.860934687
146.9,0.153773798,0.090060005,0.757642968,0.394259844,0.230904016,1.942625451
144.398,1.647458726,2.959272323,2.368327282,4.153103924,7.464657685,5.97210873
208.031,0.257147855,0.328432402,0.233915891,0.93366536,1.192493933,0.849312593
82.591,1.041625679,1.016526188,1.178480415,1.501653108,1.465460896,1.699001301
85.765,0.279842906,1.048338682,0.166615852,0.418895037,1.569414058,0.249404912
107.385,1.621021472,1.273106887,3.955606603,3.038964695,2.38647747,7.425485298
60.741,0.530160545,0.526268424,0.853138675,0.562055373,0.557928867,0.904505128
186.205,1.591012492,1.011239202,1.356551916,5.171945523,3.286757795,4.409468924
202.902,0.293865951,0.801755448,0.570504533,1.040678956,2.839448283,2.020399014
60.277,0.331524576,1.542477684,0.321004604,0.348778392,1.623128201,0.337710685
77.71,1.424953512,1.081989384,1.238890628,1.933056402,1.467671652,1.680563532
204.532,0.73782779,1.079764473,0.821882421,2.634011389,3.854952971,2.934121633
192.206,0.966845239,1.017450219,0.757781127,3.24371356,3.413525345,2.542221671
207.763,0.203991137,0.217806089,0.299179553,0.739705264,0.789801009,1.084879323
165.239,1.538455401,1.706945783,1.921427229,4.437917524,4.924228142,5.543406332
207.861,0.447151931,0.323601026,0.331305198,1.62223702,1.173991326,1.201941885
84.611,0.339723778,0.654573136,1.040777415,0.501689753,0.966676739,1.537127266
115.708,0.956201427,3.410161153,3.281668466,1.931214281,6.894914812,6.63453864
139.415,1.276099413,3.226961536,1.242500254,3.105583412,7.860319574,3.023788723
103.057,1.523109735,0.961906993,0.257315564,2.740238573,1.730329254,0.462832491
150.802,0.269894973,1.31979847,0.211454505,0.710366508,3.474312763,0.556548968
55.798,1.518372537,1.396418561,1.949745078,1.479026729,1.360183853,1.899509704
1040.594,0.527082623,3.359135415,0.290160681,9.573034742,61.07791278,5.26988284
94.924,1.121027929,0.158199314,0.999809059,1.857484736,0.262095219,1.656588148
83.27,0.205891543,0.974996257,1.148299236,0.299230811,1.417133628,1.669087716
66.134,0.258361538,1.079300128,0.351774911,0.298217389,1.245936075,0.40604342
166.973,0.126117677,1.633286687,0.161017509,0.367536337,4.761060484,0.469243066
105.937,1.24394749,1.659440746,0.24849464,2.300357475,3.069080256,0.459456908
178.692,0.086857854,0.559162481,0.01843723,0.270889335,1.74395104,0.057501366
207.783,0.045516103,0.657695915,0.518916916,0.165064068,2.385237344,1.881902344
85.535,1.59157,1.654831849,0.933308259,2.376614246,2.471131645,1.393428698
143.848,1.474981717,1.155226944,1.564181294,3.703938658,2.900730367,3.928042654
160.57,1.001126161,1.369633888,0.823410189,2.805916776,3.839096263,2.307745494
103.061,0.079082368,0.622181479,0.357096099,0.142249799,1.11919528,0.642336275
98.096,0.229416628,1.488766175,0.987922889,0.39278589,2.549487662,1.691588626
144.599,1.09256814,0.78605434,1.714932341,2.757679773,1.983912325,4.329316797
